CODE,day,t,dn,dc,cc,BS,DP,DN,SS,SB
CODE_1.SZ,20241230,9:31:53:850,2580304,0,0,S,4.57,3800,2580303,2506676
CODE_1.SZ,20241230,9:31:53:850,2580305,0,0,S,4.57,1000,2580303,2530696
CODE_1.SZ,20241230,9:31:53:850,2580306,0,0,S,4.57,200,2580303,2546914
CODE_1.SZ,20241230,9:31:54:380,2584935,0,0,S,4.57,100,2584934,2546914
CODE_1.SZ,20241230,9:31:55:010,2590374,0,0,S,4.57,700,2590373,2546914
CODE_1.SZ,20241230,9:31:55:010,2590375,0,0,S,4.57,100,2590373,2547484
CODE_1.SZ,20241230,9:31:55:010,2590376,0,0,S,4.57,700,2590373,2564334
CODE_1.SZ,20241230,9:31:57:480,2611260,C,0, ,0,100,0,2223880
CODE_1.SZ,20241230,9:31:58:890,2623938,0,0,S,4.57,500,2623937,2564334
CODE_1.SZ,20241230,9:31:58:890,2623939,0,0,S,4.57,100,2623937,2572668
CODE_1.SZ,20241230,9:31:59:250,2626847,0,0,S,4.57,14200,2626846,2572668
CODE_1.SZ,20241230,9:31:59:350,2627668,C,0, ,0,200,0,2325865
CODE_1.SZ,20241230,9:31:59:500,2628676,0,0,S,4.57,3000,2628675,2572668
CODE_1.SZ,20241230,9:32:01:310,2650996,0,0,S,4.57,900,2650995,2572668
CODE_1.SZ,20241230,9:32:01:600,2654653,0,0,S,4.57,400,2654652,2572668
CODE_1.SZ,20241230,9:32:01:730,2656591,0,0,S,4.57,400,2656590,2572668
CODE_1.SZ,20241230,9:32:01:740,2656925,0,0,S,4.57,200,2656924,2572668
CODE_1.SZ,20241230,9:32:01:750,2657262,0,0,S,4.57,200,2657261,2572668
CODE_1.SZ,20241230,9:32:02:020,2661020,0,0,S,4.57,100,2661019,2572668
CODE_1.SZ,20241230,9:32:02:140,2662846,0,0,S,4.57,200,2662845,2572668
CODE_1.SZ,20241230,9:32:02:180,2663576,0,0,S,4.57,200,2663575,2572668
CODE_1.SZ,20241230,9:32:02:210,2663903,0,0,S,4.57,100,2663902,2572668
CODE_1.SZ,20241230,9:32:02:240,2664469,0,0,S,4.57,100,2664468,2572668
CODE_1.SZ,20241230,9:32:02:300,2665323,0,0,S,4.57,3000,2665322,2572668
CODE_1.SZ,20241230,9:32:02:750,2670964,0,0,B,4.58,4000,2362570,2670963
CODE_1.SZ,20241230,9:32:03:270,2676405,0,0,B,4.58,2000,2362570,2676404
CODE_1.SZ,20241230,9:32:03:400,2678314,0,0,S,4.57,1700,2678313,2572668
CODE_1.SZ,20241230,9:32:03:650,2681937,0,0,S,4.57,5400,2681936,2572668
CODE_1.SZ,20241230,9:32:03:670,2682288,0,0,S,4.57,100,2682287,2572668
CODE_1.SZ,20241230,9:32:03:680,2682439,0,0,S,4.57,200,2682438,2572668
CODE_1.SZ,20241230,9:32:03:850,2685078,0,0,S,4.57,300,2685077,2572668
